ACADEMIA,BANANA,BIRDS,BOWSER,CARD,CLOTH,DEVIL,FOOTMAN,FOREVER,HEAD,NUMBER,PEANUTS,PILLOW,RAT,RING,SLOB,STORM,SWORD,TRUE,WORLD
B,Y,B,Q,Y,C,P,P,R,B,G,D,V,N,E,P,U,S,U,R,E,A,T,A,N,C,M,I,J,R,P,O,H,H,T,M,N,Q,T,N
N,R,X,P,Y,P,O,N,Y,L,W,N,N,L,A,W,G,D,L,B,H,M,N,A,M,D,D,N,X,F,D,D,N,C,I,C,E,R,G,R
T,P,Y,N,P,A,A,R,I,L,Z,J,T,W,V,L,Y,H,W,T,X,C,V,Z,A,N,A,N,A,B,B,E,D,S,J,Z,M,N,N,M
Y,T,T,G,A,Y,Z,E,S,S,H,R,E,S,K,E,N,P,F,L,O,A,Q,N,Q,Z,L,N,V,J,R,T,G,V,F,L,T,Y,R,H
E,V,I,V,Z,Q,J,J,M,Q,A,Y,L,X,W,O,J,H,N,H,L,M,A,Q,U,I,Y,Y,A,N,E,F,S,M,M,A,N,O,O,X
Y,J,J,Z,V,J,N,H,Z,X,K,I,C,G,S,Y,C,Y,S,A,Y,O,U,E,F,M,U,X,G,F,M,P,E,N,L,I,T,N,H,D
K,T,H,I,P,J,J,M,C,A,W,T,K,B,D,Y,U,C,Q,Z,N,B,W,G,X,I,X,T,A,I,X,W,L,C,E,S,X,B,E,D
O,R,A,W,T,E,I,P,U,P,T,S,Q,W,V,V,K,J,G,G,J,D,G,N,X,W,K,J,V,V,K,W,B,E,L,T,K,J,Q,E
N,B,P,M,L,A,N,J,B,N,I,J,X,Q,E,K,I,G,C,Q,S,W,Z,U,E,C,U,I,H,Z,X,E,G,T,A,S,C,A,Z,U
K,X,Z,B,B,P,Z,V,J,C,P,V,G,H,V,F,A,B,J,I,C,B,A,Z,W,D,E,L,G,E,V,E,I,O,B,P,B,M,B,Q
C,P,D,Z,I,Q,C,A,V,L,U,N,P,N,N,P,W,O,I,X,O,H,U,K,N,Y,H,S,M,O,E,V,Z,Y,T,N,V,L,Q,W
W,E,E,W,S,Q,B,Y,T,E,S,K,W,M,A,K,X,E,K,W,D,G,Y,A,T,J,F,S,N,X,H,O,Y,Y,I,R,G,T,X,I
R,E,T,A,T,S,J,M,Y,I,H,O,T,D,V,S,Z,P,S,Q,I,I,X,V,P,J,T,M,B,R,T,X,U,V,P,C,U,K,M,I
V,Q,B,G,N,L,B,G,N,J,R,F,A,M,R,V,X,E,B,V,G,H,E,V,I,G,Z,M,I,M,S,C,H,N,G,D,M,E,A,Q
M,F,T,B,Q,U,T,I,Y,L,I,T,M,L,J,P,R,N,W,Q,D,G,B,U,Q,J,W,B,T,J,F,H,I,A,G,K,R,I,R,F
N,I,I,T,G,U,T,A,D,P,L,V,F,O,O,T,M,A,N,R,C,O,Z,B,E,K,M,X,A,Z,V,W,G,D,B,G,A,G,S,O
V,C,W,L,T,C,I,S,Z,F,Q,D,Y,G,A,R,G,Q,A,A,N,H,Y,D,H,E,H,K,T,E,L,X,X,E,G,G,F,X,L,R
M,L,O,S,Q,M,K,O,H,H,V,T,R,I,D,X,L,C,W,H,C,Z,E,A,K,Y,S,A,P,V,U,U,I,O,E,M,N,J,O,E
Y,W,G,E,E,Y,Z,A,W,Y,O,K,J,Q,C,C,K,J,X,J,B,I,K,U,H,G,X,M,S,X,O,G,P,Z,G,H,C,I,P,V
G,B,W,D,M,R,F,R,R,K,Z,N,T,J,V,Z,S,U,D,O,O,V,M,M,C,N,U,V,S,X,X,R,T,M,P,R,T,R,R,E
M,U,A,K,Y,J,J,H,T,X,H,F,A,H,R,O,U,O,J,E,C,D,R,O,W,S,R,H,B,G,J,S,K,H,I,S,X,J,I,R
E,C,N,Y,Y,V,G,T,N,G,V,X,Q,F,C,V,X,N,W,C,O,Z,V,A,K,S,Y,U,T,W,H,Q,B,T,L,W,I,H,I,F
A,N,D,G,A,Q,N,K,B,L,R,O,H,C,Y,A,A,Q,G,O,V,M,Q,I,I,D,R,R,P,V,E,K,R,X,L,T,Q,J,D,I
A,X,O,C,R,L,Z,G,M,L,Z,O,U,F,R,T,T,R,J,O,L,B,E,E,K,U,O,O,V,U,R,B,D,A,Z,J,V,H,J,U
X,E,R,L,S,C,G,T,K,E,B,N,O,H,Z,E,R,R,Z,F,N,L,N,D,Z,C,S,B,X,G,N,Z,H,U,W,G,Y,Y,K,X
K,O,E,Y,P,P,M,B,Q,K,I,L,B,G,Z,V,A,A,G,Q,A,F,I,V,S,R,U,P,C,Q,R,Y,K,T,O,S,B,D,N,V
B,O,B,M,N,L,F,F,P,Q,R,P,J,C,K,X,A,T,Y,P,D,D,I,P,T,E,O,Q,H,M,E,J,O,L,G,U,O,R,B,D
P,W,M,V,S,G,T,W,U,U,D,E,X,E,N,P,U,I,U,W,J,W,Q,B,P,Y,L,V,Y,D,F,R,C,P,J,W,T,G,W,F
T,O,U,H,G,Q,B,Q,Y,A,S,U,S,B,V,J,N,I,A,Q,G,S,J,N,Z,O,W,C,I,Q,S,X,M,V,I,M,N,O,Z,I
W,B,N,E,W,C,E,S,U,X,H,U,P,N,N,I,P,Y,E,R,U,Z,M,M,G,E,O,W,T,Y,M,S,Q,H,W,M,S,K,Q,W
T,X,T,E,Z,T,Q,P,A,C,L,U,U,X,X,X,Z,Y,G,Q,O,C,K,R,P,X,H,F,L,G,W,A,Y,L,R,L,Z,M,L,Y
M,M,G,M,I,O,H,T,U,V,X,Z,A,O,T,P,X,U,G,R,H,D,F,Y,Z,R,C,L,O,T,H,Z,X,R,G,L,D,O,D,N
B,M,N,Z,T,G,V,I,C,G,U,Y,G,F,Y,P,D,D,I,O,D,L,O,N,O,U,H,P,Y,Z,Z,B,E,T,L,I,M,S,C,B
M,I,M,J,J,M,E,L,G,X,T,C,A,I,I,B,H,E,K,Y,B,J,F,J,I,B,X,K,M,D,K,Z,L,H,Y,W,V,K,Z,K
G,D,G,T,G,H,I,Y,J,C,B,U,D,E,S,J,Y,E,V,T,L,N,J,R,N,C,P,E,M,R,B,O,P,Q,K,E,K,K,O,I
G,B,J,W,Z,Z,K,S,E,R,Y,J,O,U,Z,O,F,J,A,I,I,J,H,E,A,D,O,L,D,C,O,L,A,F,T,Y,P,O,W,I
F,O,N,T,I,L,K,Y,J,N,R,O,K,D,W,F,G,L,U,G,L,S,O,G,N,A,G,L,M,U,L,J,Z,K,V,B,X,D,N,S
E,U,G,P,J,X,I,N,J,R,V,U,S,R,Y,H,W,O,N,C,W,E,U,E,I,Y,I,G,K,J,S,L,Y,H,X,P,M,W,Z,G
D,N,L,T,H,K,A,S,R,R,E,N,S,H,F,A,K,T,Q,R,A,I,P,R,O,N,X,M,B,M,Z,S,I,C,E,B,V,D,K,N
D,M,A,A,A,Y,S,C,K,Z,B,Z,I,Z,Z,S,Z,Q,N,X,H,M,B,H,N,X,N,U,J,G,B,Y,C,C,T,C,W,D,W,N